Station Name,Adjacent building,Adjacent station,Architect,Area,Connecting line,Date of official closure,Date of official opening,Different from,Has part(s),Has use,Heritage designation,Inception,Interchange station,Localisation,Located on street,Location,Named after,Operator,Owned by,Part of,Pronunciation audio,Significant event,Street address,Transport network,Visitors per year
Goncourt (Paris Metro),,"République (Châtelet, Paris Métro Line 11)Belleville (Rosny-Bois-Perrier, Paris Métro Line 11)",,,Paris Métro Line 11,,28 April 1935,,,,,1935,,"48° 52′ 11.6″ N, 2° 22′ 15.89″ E",,10th arrondissement of Paris11th arrondissement of ParisFrance,,RATP,RATP,,,,,Paris Métro,
Les Grésillons (Paris Metro),Les Grésillons,"Saint-Denis Pleyel (Saint-Denis Pleyel, Paris Métro Line 15)Les Agnettes (Pont de Sèvres, Paris Métro Line 15)",,,Paris Métro Line 15Paris Métro Line 17,,,,,,,,,"48° 55′ 11.17″ N, 2° 18′ 46.25″ E",,,,,,,,,,Paris Métro,
Grands Boulevards (Paris Metro),,"Richelieu – Drouot (Balard, Paris Métro Line 8)Bonne Nouvelle (Pointe du Lac, Paris Métro Line 8)Richelieu – Drouot (Pont de Sèvres, Paris Métro Line 9)Bonne Nouvelle (Mairie de Montreuil, Paris Métro Line 9)",,,Paris Métro Line 8Paris Métro Line 9,,5 May 1931,Grand Boulevard station,,,,1931,,"48° 52′ 17.15″ N, 2° 20′ 36.56″ E",,2nd arrondissement of Paris9th arrondissement of ParisFrance,Grands Boulevards,RATP,RATP,,,,,Paris Métro,
Havre - Caumartin (Paris Metro),,"Saint-Lazare (Pont de Levallois – Bécon, Paris Métro Line 3)Opéra (Gallieni, Paris Métro Line 3)Saint-Augustin (Pont de Sèvres, Paris Métro Line 9)Chaussée d'Antin – La Fayette (Mairie de Montreuil, Paris Métro Line 9)",,,Paris Métro Line 3Paris Métro Line 9,,19 October 1904,,,,,,AuberHaussmann – Saint-LazareQ56707924,"48° 52′ 25.25″ N, 2° 19′ 38.35″ E",,"9th arrondissement of Paris, Paris, Grand Paris, France",rue du Havrerue de Caumartin,RATP,RATP,,,,,Paris Métro,
Les Halles (Paris Metro),,"Étienne Marcel (Porte de Clignancourt, Paris Métro Line 4)Châtelet (Bagneux–Lucie Aubrac, Paris Métro Line 4)",,,Paris Métro Line 4,,27 April 1908,Les Halles ,,,,,Gare de Châtelet – Les Halles,"48° 51′ 43.9″ N, 2° 20′ 45.01″ E",,"Q112334242, Q112334376",Les Halles,RATP,RATP,,,,,Paris Métro,
Guy Môquet (Paris Metro),,"Porte de Saint-Ouen (Saint-Denis – Université, Paris Métro Line 13)La Fourche (Châtillon - Montrouge, Paris Métro Line 13)",,,Paris Métro Line 13,,26 February 1911,,,,,,,"48° 53′ 32″ N, 2° 19′ 38″ E",,17th arrondissement of Paris18th arrondissement of ParisFrance,rue Guy-Môquet,RATP,RATP,,,,,Paris Métro,
Iéna (Paris Metro),,"Trocadéro (Pont de Sèvres, Paris Métro Line 9)Alma - Marceau (Mairie de Montreuil, Paris Métro Line 9)",,,Paris Métro Line 9,,27 May 1923,,,,,1923,,"48° 51′ 52.81″ N, 2° 17′ 37.61″ E",,"16th arrondissement of Paris, Paris, Grand Paris, France",avenue d'Iéna,RATP,RATP,,,,,Paris Métro,
Haxo (Paris Metro),,,,,Paris Métro Line 3bis,,,,,,,1921,,"48° 52′ 43″ N, 2° 24′ 06″ E",,"19th arrondissement of Paris, Paris, Grand Paris, France",,RATP,RATP,,,,,Paris Métro,
Hoche (Paris Metro),,"Porte de Pantin (Place d'Italie, Paris Métro Line 5)Église de Pantin (Bobigny – Pablo Picasso, Paris Métro Line 5)",,,Paris Métro Line 5,,12 October 1942,,,,,1942,,"48° 53′ 29″ N, 2° 24′ 11.02″ E",,"Pantin, arrondissement of Bobigny, Seine-Saint-Denis, Île-de-France, Metropolitan France, France",rue Hoche,RATP,RATP,,,,,Paris Métro,
Hôtel de Ville (Paris Metro),,"Châtelet (La Défense, Paris Métro Line 1)Saint-Paul (Le Marais) (Château de Vincennes, Paris Métro Line 1)Châtelet (Châtelet, Paris Métro Line 11)Rambuteau (Rosny-Bois-Perrier, Paris Métro Line 11)",,,"Paris Métro Line 1 (Saint-Paul (Le Marais), Châtelet)Paris Métro Line 11 (Châtelet, Arts et Métiers)",,19 July 1900 (Paris Métro Line 1),"Hôtel de Ville, ParisCity Hall Station",,,,1900,,"48° 51′ 27.32″ N, 2° 21′ 05.71″ E",,"4th arrondissement of Paris, Paris Centre, Paris, Grand Paris, France",,RATP (1949–)Compagnie du chemin de fer métropolitain de Paris (1900–1948),RATP (1949–)Compagnie du chemin de fer métropolitain de Paris (1900–1948),,,,,Paris Métro,
Invalides (Paris Metro),,"La Tour-Maubourg (Balard, Paris Métro Line 8)Concorde (Pointe du Lac, Paris Métro Line 8)Varenne (Châtillon - Montrouge, Paris Métro Line 13)Champs-Élysées - Clemenceau (Les Courtilles, Saint-Denis – Université, Paris Métro Line 13)Champs-Élysées - Clemenceau (La Défense, Château de Vincennes, Paris Métro Line 1)",,,Paris Métro Line 8Paris Métro Line 13RER C,,24 December 1913,Invalides,,,,1913,Invalides,"48° 51′ 38.99″ N, 2° 18′ 52.99″ E",,"7th arrondissement of Paris, Paris, Grand Paris, France",Les Invalides,RATP,RATP,,,,,Paris Métro,
Jasmin (Paris Metro),,"Michel-Ange – Auteuil (Pont de Sèvres, Paris Métro Line 9)Ranelagh (Mairie de Montreuil, Paris Métro Line 9)",,,Paris Métro Line 9,,8 November 1922,,,,,1922,,"48° 51′ 06.01″ N, 2° 16′ 04.01″ E",,"16th arrondissement of Paris, Paris, Grand Paris, France",rue JasminJacques Jasmin,RATP,RATP,,,,,Paris Métro,
Jacques Bonsergent (Paris Metro),,"République (Place d'Italie, Paris Métro Line 5)Gare de l'Est (Bobigny – Pablo Picasso, Paris Métro Line 5)",,,Paris Métro Line 5,,17 December 1906,,,,,,,"48° 52′ 16″ N, 2° 21′ 38.02″ E",,"10th arrondissement of Paris, Paris, Grand Paris, France",place Jacques-Bonsergent (1946–),RATP,RATP,,,,,Paris Métro,
Jaurès (Paris Metro),,,,,,,,,,,,,,"48° 52′ 57″ N, 2° 22′ 13″ E",,,,,,,,,,,
Issy (Paris Metro),,"Pont de Sèvres (Pont de Sèvres, Paris Métro Line 15)Fort d'Issy - Vanves - Clamart (Noisy - Champs, Paris Métro Line 15)",,,Paris Métro Line 15,,,,,,,,Issy,"48° 49′ 15.96″ N, 2° 15′ 35.78″ E",,"Issy-les-Moulineaux, arrondissement of Boulogne-Billancourt, Hauts-de-Seine, Île-de-France, Metropolitan France, France",,,,,,,,Paris Métro,
Javel - André Citroën (Paris Metro),,"Église d'Auteuil (Boulogne – Pont de Saint-Cloud, Paris Métro Line 10)Charles Michels (Gare d'Austerlitz, Paris Métro Line 10)Mirabeau (Paris Métro Line 10)",,,Paris Métro Line 10,,30 September 1913,,,,,,Gare de Javel,"48° 50′ 46″ N, 2° 16′ 43″ E",,"15th arrondissement of Paris, Paris, Grand Paris, France",Javelquai André-Citroën,RATP,RATP,,,,,Paris Métro,
Jules Joffrin (Paris Metro),,"Marcadet – Poissonniers (Mairie d'Aubervilliers, Paris Métro Line 12)Lamarck – Caulaincourt (Mairie d'Issy, Paris Métro Line 12)",,,Paris Métro Line 12,,31 October 1912,,,,,,,"48° 53′ 33″ N, 2° 20′ 41″ E",,"18th arrondissement of Paris, Paris, Grand Paris, France",,RATP (1949–)Compagnie du chemin de fer métropolitain de Paris (1930–1948)Nord-Sud Company (1912–1929),RATP (1949–)Compagnie du chemin de fer métropolitain de Paris (1930–1948)Nord-Sud Company (1912–1929),,,,,Paris Métro,
Jourdain (Paris Metro),,"Pyrénées (Châtelet, Paris Métro Line 11)Place des Fêtes (Rosny-Bois-Perrier, Paris Métro Line 11)",,,Paris Métro Line 11,,28 April 1935,,,,,,,"48° 52′ 30″ N, 2° 23′ 26.99″ E",,19th arrondissement of Paris20th arrondissement of ParisFrance,rue du Jourdain,RATP,RATP,,,,,Paris Métro,
Jussieu (Paris Metro),,"Place Monge (Villejuif - Louis Aragon, Mairie d'Ivry, Paris Métro Line 7)Sully – Morland (La Courneuve - 8 Mai 1945, Paris Métro Line 7)Cardinal Lemoine (Boulogne – Pont de Saint-Cloud, Paris Métro Line 10)Gare d'Austerlitz (Gare d'Austerlitz, Paris Métro Line 10)",,,Paris Métro Line 7Paris Métro Line 10,,26 April 1931,,,,,,,"48° 50′ 45.79″ N, 2° 21′ 20.66″ E",,"5th arrondissement of Paris, Paris, Grand Paris, France",place Jussieu,RATP,RATP,,,,,Paris Métro,
Kléber (Paris Metro),,,,,,,,,,,,,,"48° 52′ 15″ N, 2° 17′ 35″ E",,,,,,,,,,,
Hôpital Bicêtre (Paris Metro),,"Maison Blanche (Saint-Denis Pleyel, Paris Métro Line 14)Villejuif - Gustave Roussy (Aéroport d'Orly, Paris Métro Line 14)",Dominique Perrault,,Paris Métro Line 14,,24 June 2024,,,,,,,"48° 48′ 35″ N, 2° 20′ 59″ E",,"Le Kremlin-Bicêtre, Val-de-Marne, Île-de-France, Metropolitan France, France",Bicêtre Hospital,,,,,,,Paris Métro,
Le Kremlin-Bicêtre (Paris Metro),,"Villejuif – Léo Lagrange (Villejuif - Louis Aragon, Paris Métro Line 7)Maison Blanche (La Courneuve - 8 Mai 1945, Paris Métro Line 7)",,,Paris Métro Line 7,,10 December 1982,,,,,1982,,"48° 48′ 36″ N, 2° 21′ 43.2″ E",,"Le Kremlin-Bicêtre, Val-de-Marne, Île-de-France, Metropolitan France, France",Le Kremlin-Bicêtre,RATP,RATP,,,,,Paris Métro,
Laumière (Paris Metro),,"Jaurès (Place d'Italie, Paris Métro Line 5)Ourcq (Bobigny – Pablo Picasso, Paris Métro Line 5)",,,Paris Métro Line 5,,12 October 1942,,,,,1942,,"48° 53′ 06″ N, 2° 22′ 43″ E",,"19th arrondissement of Paris, Paris, Grand Paris, France",avenue de Laumière,RATP,RATP,,,,,Paris Métro,
Ledru-Rollin (Paris Metro),,"Bastille (Balard, Paris Métro Line 8)Faidherbe – Chaligny (Pointe du Lac, Paris Métro Line 8)",,,Paris Métro Line 8,,5 May 1931,,,,,1931,,"48° 51′ 04.8″ N, 2° 22′ 34″ E",,11th arrondissement of Paris12th arrondissement of ParisFrance,avenue Ledru-Rollin,RATP,RATP,,,,,Paris Métro,
Lamarck - Caulaincourt (Paris Metro),,"Jules Joffrin (Mairie d'Aubervilliers, Paris Métro Line 12)Abbesses (Mairie d'Issy, Paris Métro Line 12)",,,Paris Métro Line 12,,31 October 1912,,,,,,,"48° 53′ 23″ N, 2° 20′ 19″ E",,"18th arrondissement of Paris, Paris, Grand Paris, France",rue Lamarckrue Caulaincourt,RATP (1949–)Compagnie du chemin de fer métropolitain de Paris (1930–1948)Nord-Sud Company (1912–1929),RATP (1949–)Compagnie du chemin de fer métropolitain de Paris (1930–1948)Nord-Sud Company (1912–1929),,,,,Paris Métro,
Liberté (Paris Metro),,"Porte de Charenton (Balard, Paris Métro Line 8)Charenton – Écoles (Pointe du Lac, Paris Métro Line 8)",,,Paris Métro Line 8,,5 October 1942,Liberté ,,,,1942,,"48° 49′ 32.99″ N, 2° 24′ 24.98″ E",,"Charenton-le-Pont, Val-de-Marne, Île-de-France, Metropolitan France, France",avenue de la Liberté,RATP,RATP,,,,,Paris Métro,
Liège (Paris Metro),,"Place de Clichy (Les Courtilles, Saint-Denis – Université, Paris Métro Line 13)Saint-Lazare (Châtillon - Montrouge, Paris Métro Line 13)",,,Paris Métro Line 13,,26 February 1911,,,,,1911,,"48° 52′ 47″ N, 2° 19′ 37″ E",,8th arrondissement of Paris9th arrondissement of ParisFrance,Battle of Liège,RATP,RATP,,,,,Paris Métro,
Louis Blanc (Paris Metro),,,,,,,,,,,,,,"48° 52′ 52″ N, 2° 21′ 53″ E",,,,,,,,,,,
Lourmel (Paris Metro),,"Balard (Balard, Paris Métro Line 8)Boucicaut (Pointe du Lac, Paris Métro Line 8)",,,Paris Métro Line 8,,27 July 1937,,,,,,,"48° 50′ 19″ N, 2° 16′ 54.01″ E",,"15th arrondissement of Paris, Paris, Grand Paris, France",rue de Lourmel,RATP,RATP,,,,,Paris Métro,
Mabillon (Paris Metro),,"Sèvres–Babylone (Boulogne – Pont de Saint-Cloud, Paris Métro Line 10)Odéon (Gare d'Austerlitz, Paris Métro Line 10)",,,Paris Métro Line 10,,10 March 1925,,,,,1925,,"48° 51′ 10.01″ N, 2° 20′ 07.01″ E",,"6th arrondissement of Paris, Paris, Grand Paris, France",rue Mabillon,RATP,RATP,,,,,Paris Métro,
Louise Michel (Paris Metro),,"Anatole France (Pont de Levallois – Bécon, Paris Métro Line 3)Porte de Champerret (Gallieni, Paris Métro Line 3)",,,Paris Métro Line 3,,24 September 1937,Louise Michel,,,,,,"48° 53′ 19.49″ N, 2° 17′ 16.23″ E",,"Levallois-Perret, Hauts-de-Seine, Île-de-France, Metropolitan France, France",Louise Michel (1946–),RATP,RATP,,,,,Paris Métro,
Louvre - Rivoli (Paris Metro),,,,,,,,,,,,,,"48° 51′ 37.9″ N, 2° 20′ 27.6″ E",,,,,,,,,,,
Madeleine (Paris Metro),,"Concorde (Balard, Paris Métro Line 8)Opéra (Pointe du Lac, Paris Métro Line 8)Saint-Lazare (Mairie d'Aubervilliers, Paris Métro Line 12)Concorde (Mairie d'Issy, Paris Métro Line 12)Saint-Lazare (Saint-Denis Pleyel, Paris Métro Line 14)Pyramides (Aéroport d'Orly, Paris Métro Line 14)",,,Paris Métro Line 8 (1913–)Paris Métro Line 12Paris Métro Line 14 (1998–),,5 November 1910,,,,Remarkable Contemporary Architecture (Paris Métro Line 14),,,"48° 52′ 11″ N, 2° 19′ 28″ E",,"8th arrondissement of Paris, Paris, Grand Paris, France",place de la Madeleine,RATP,RATP,,,,,Paris Métro,
Mairie d'Aubervilliers (Paris Metro),,,,,,,,,,,,,,"48° 55′ N, 2° 23′ E",,,,,,,,,,,
Mairie d'Issy (Paris Metro),,"Corentin Celton (Mairie d'Aubervilliers, Paris Métro Line 12)",,,Paris Métro Line 12,,24 March 1934,,,,,1934,,"48° 49′ 27″ N, 2° 16′ 24″ E",,"Issy-les-Moulineaux, arrondissement of Boulogne-Billancourt, Hauts-de-Seine, Île-de-France, Metropolitan France, France",Issy-les-Moulineauxtown hall of Issy-les-Moulineaux,RATP,RATP,,,,,Paris Métro,
Mairie de Clichy (Paris Metro),,"Gabriel Péri (Les Courtilles, Paris Métro Line 13)Porte de Clichy (Châtillon - Montrouge, Paris Métro Line 13)",,,Paris Métro Line 13,,9 May 1980,,,,,,,"48° 54′ 14″ N, 2° 18′ 19.01″ E",,"Clichy, canton of Levallois-Perret-Nord",town hall of Clichy,RATP,RATP,,,,,Paris Métro,
Mairie d'Ivry (Paris Metro),,"Pierre et Marie Curie (La Courneuve - 8 Mai 1945, Paris Métro Line 7)",,,Paris Métro Line 7,,1 May 1946,,,,,,,"48° 48′ 39.56″ N, 2° 23′ 02.29″ E",,"Ivry-sur-Seine, Val-de-Marne, Île-de-France, Metropolitan France, France",town hall of Ivry-sur-Seine,RATP,RATP,,,,,Paris Métro,
Mairie de Montreuil (Paris Metro),,"Croix de Chavaux (Pont de Sèvres, Paris Métro Line 9)Aristide Briand (building or structure under construction)",,,Paris Métro Line 9,,14 October 1937,,,,,,,"48° 51′ 43.99″ N, 2° 26′ 30.98″ E",,"Montreuil, Seine-Saint-Denis, Île-de-France, Metropolitan France, France",Montreuil town hall,RATP,RATP,,,,,Paris Métro,
Mairie de Montrouge (Paris Metro),,,,,,,,,,,,,,"48° 49′ 05″ N, 2° 19′ 10.3″ E",,,,,,,,,,,
Mairie de Saint-Ouen (Paris Metro),,"Carrefour Pleyel (Saint-Denis – Université, Paris Métro Line 13)Garibaldi metro station (Châtillon - Montrouge, Paris Métro Line 13)Saint-Ouen (Aéroport d'Orly, Paris Métro Line 14, 2020–)Saint-Denis Pleyel (Saint-Denis Pleyel, Paris Métro Line 14, 2024–)",,,Paris Métro Line 13 (1952–)Paris Métro Line 14 (2020–),,30 June 1952,,,,,30 June 1952,,"48° 54′ 42.01″ N, 2° 20′ 01″ E",,"Saint-Ouen-sur-Seine, Seine-Saint-Denis, Île-de-France, Metropolitan France, France",town hall of Saint-Ouen-sur-Seine,RATP,RATP,,,,,Paris Métro,
Mairie des Lilas (Paris Metro),,"Porte des Lilas (Châtelet, Paris Métro Line 11)Serge Gainsbourg (Rosny-Bois-Perrier, Paris Métro Line 11)",,,Paris Métro Line 11,,17 February 1937,,,,,1937,,"48° 52′ 46.99″ N, 2° 24′ 58″ E",,"Les Lilas, Seine-Saint-Denis, Île-de-France, Metropolitan France, France",town hall of Les Lilas,RATP,RATP,,,,,Paris Métro,
Mairie de Vitry-sur-Seine (Paris Metro),,"Villejuif - Louis Aragon (Pont de Sèvres, Paris Métro Line 15)Les Ardoines (Noisy - Champs, Paris Métro Line 15)",,,Paris Métro Line 15,,,,,,,,Mairie de Vitry-sur-Seine,"48° 47′ 23.72″ N, 2° 23′ 13.99″ E",,"Vitry-sur-Seine, Val-de-Marne, Île-de-France, Metropolitan France, France",,,,,,,,Paris Métro,
Maison Blanche (Paris Metro),,,,,,,,,,,,,,,,,,,,,,,,,
Maisons-Alfort - Les Juilliottes (Paris Metro),,"Maisons-Alfort – Stade (Balard, Paris Métro Line 8)Créteil - L'Échat (Pointe du Lac, Paris Métro Line 8)",,,Paris Métro Line 8,,27 April 1972,,,,,,,"48° 48′ 09″ N, 2° 26′ 47″ E",,"Maisons-Alfort, Val-de-Marne, Île-de-France, Metropolitan France, France",Maisons-Alfort,RATP,RATP,,,,,Paris Métro,
Maisons-Alfort - Stade (Paris Metro),,"École Vétérinaire de Maisons-Alfort (Balard, Paris Métro Line 8)Maisons-Alfort – Les Juilliottes (Pointe du Lac, Paris Métro Line 8)",,,Paris Métro Line 8,,19 September 1970,,,,,,,"48° 48′ 31″ N, 2° 26′ 08.99″ E",,"Maisons-Alfort, Val-de-Marne, Île-de-France, Metropolitan France, France",Maisons-Alfort,RATP,RATP,,,,,Paris Métro,
Malesherbes (Paris Metro),,"Wagram (Pont de Levallois – Bécon, Paris Métro Line 3)Villiers (Gallieni, Paris Métro Line 3)",,,Paris Métro Line 3,,23 May 1910,,,,,,,"48° 52′ 58.92″ N, 2° 18′ 32.03″ E",,"17th arrondissement of Paris, Paris, Grand Paris, France",boulevard Malesherbes,RATP,RATP,,,,,Paris Métro,
Malakoff - Plateau de Vanves (Paris Metro),,"Porte de Vanves (Les Courtilles, Saint-Denis – Université, Paris Métro Line 13)Malakoff – Rue Étienne Dolet (Châtillon - Montrouge, Paris Métro Line 13)",,,Paris Métro Line 13,,9 November 1976,,,,,1976,,"48° 49′ 22.01″ N, 2° 17′ 53.99″ E",,"Malakoff, Hauts-de-Seine, Île-de-France, Metropolitan France, France",Malakoffplateau de Vanves,RATP,RATP,,,,,Paris Métro,
Malakoff - Rue Étienne-Dolet (Paris Metro),,"Malakoff – Plateau de Vanves (Les Courtilles, Saint-Denis – Université, Paris Métro Line 13)Châtillon - Montrouge (Châtillon - Montrouge, Paris Métro Line 13)",,,Paris Métro Line 13,,9 November 1976,,,,,,,"48° 48′ 52.99″ N, 2° 17′ 49.99″ E",,"Malakoff, Hauts-de-Seine, Île-de-France, Metropolitan France, France",,RATP,RATP,,,,,Paris Métro,
Maraîchers (Paris Metro),,"Buzenval (Pont de Sèvres, Paris Métro Line 9)Porte de Montreuil (Mairie de Montreuil, Paris Métro Line 9)",,,Paris Métro Line 9,,10 December 1933,,,,,1933,,"48° 51′ 10.01″ N, 2° 24′ 24.01″ E",,"20th arrondissement of Paris, Paris, Grand Paris, France",vegetable grower,RATP,RATP,,,,,Paris Métro,
Marcadet - Poissonniers (Paris Metro),,"Simplon (Porte de Clignancourt, Paris Métro Line 4)Château Rouge (Bagneux–Lucie Aubrac, Paris Métro Line 4)Marx Dormoy (Mairie d'Aubervilliers, Paris Métro Line 12)Jules Joffrin (Mairie d'Issy, Paris Métro Line 12)",,,Paris Métro Line 4 (1908–)Paris Métro Line 12 (1916–),,21 April 1908 (Paris Métro Line 4),,,,,,,"48° 53′ 27.16″ N, 2° 20′ 59.41″ E",,"18th arrondissement of Paris, Paris, Grand Paris, France",,RATP,RATP,,,,,Paris Métro,
Martin Nadaud (Paris Metro),,,,,,,,,,,,,,,,,,,,,,,,,
Marcel Sembat (Paris Metro),,"Billancourt (Pont de Sèvres, Paris Métro Line 9)Porte de Saint-Cloud (Mairie de Montreuil, Paris Métro Line 9)",,,Paris Métro Line 9,,3 February 1934,,,,,,,"48° 50′ 02.11″ N, 2° 14′ 41.06″ E",,"Boulogne-Billancourt, arrondissement of Boulogne-Billancourt, Hauts-de-Seine, Île-de-France, Metropolitan France, France",place Marcel-Sembat,RATP,RATP,,,,,Paris Métro,
Massy - Palaiseau (Paris Metro),,"Polytechnique (Nanterre La Folie, Paris Métro Line 18)Massy Opéra (Aéroport d'Orly, Paris Métro Line 18)",,,Paris Métro Line 18,,,,,,,,Gare de Massy-PalaiseauMassy - Palaiseau,"48° 43′ 30″ N, 2° 15′ 31″ E",,"Massy, Essonne, Île-de-France, Metropolitan France, France",,,,,,,,Paris Métro,
Marx Dormoy (Paris Metro),,"Porte de la Chapelle (Mairie d'Aubervilliers, Paris Métro Line 12)Marcadet – Poissonniers (Mairie d'Issy, Paris Métro Line 12)",,,Paris Métro Line 12,,23 August 1916,,,,,,,"48° 53′ 26″ N, 2° 21′ 36″ E",,"18th arrondissement of Paris, Paris, Grand Paris, France",,RATP (1949–)Compagnie du chemin de fer métropolitain de Paris (1930–1948)Nord-Sud Company (1916–1929),RATP (1949–)Compagnie du chemin de fer métropolitain de Paris (1930–1948)Nord-Sud Company (1916–1929),,,,,Paris Métro,
Ménilmontant (Paris Metro),,,,,,,,,,,,,,"48° 51′ 58.4″ N, 2° 23′ 01.1″ E",,,,,,,,,,,
Massy Opéra (Paris Metro),,"Massy - Palaiseau (Nanterre La Folie, Paris Métro Line 18)Antonypole - Wissous Centre (Aéroport d'Orly, Paris Métro Line 18)",,"3,960 m²",Paris Métro Line 18,,,,,,,,,"48° 43′ 54″ N, 2° 17′ 27″ E",,"Massy, Essonne, Île-de-France, Metropolitan France, France",,,,,,,,Paris Métro,
Maubert - Mutualité (Paris Metro),,"Cluny – La Sorbonne (Boulogne – Pont de Saint-Cloud, Paris Métro Line 10)Cardinal Lemoine (Gare d'Austerlitz, Paris Métro Line 10)",,,Paris Métro Line 10,,15 February 1930,,,,,1930,,"48° 51′ 00.67″ N, 2° 20′ 53.19″ E",,"5th arrondissement of Paris, Paris, Grand Paris, France",place MaubertMaison de la Mutualité,RATP,RATP,,,,,Paris Métro,
Michel Bizot (Paris Metro),,"Daumesnil (Balard, Paris Métro Line 8)Porte Dorée (Pointe du Lac, Paris Métro Line 8)",,,Paris Métro Line 8,,5 May 1931,,,,,,,"48° 50′ 13.45″ N, 2° 24′ 08.86″ E",,"12th arrondissement of Paris, Paris, Grand Paris, France",avenue du Général-Michel-Bizot,RATP,RATP,,,,,Paris Métro,
Michel-Ange - Auteuil (Paris Metro),,"Michel-Ange – Molitor (Pont de Sèvres, Paris Métro Line 9)Jasmin (Mairie de Montreuil, Paris Métro Line 9)Porte d'Auteuil (Boulogne – Pont de Saint-Cloud, Paris Métro Line 10)Église d'Auteuil (Paris Métro Line 10)",,,Paris Métro Line 9Paris Métro Line 10,,30 September 1913,,,,,1913,,"48° 50′ 52.62″ N, 2° 15′ 50.87″ E",,"16th arrondissement of Paris, Paris, Grand Paris, France",rue Michel-Angerue d'Auteuil,RATP,RATP,,,,,Paris Métro,
Mirabeau (Paris Metro),,,,,,,,,,,,,,"48° 50′ 50.6″ N, 2° 16′ 23.9″ E",,,,,,,,,,,
Michel-Ange - Molitor (Paris Metro),,"Exelmans (Pont de Sèvres, Paris Métro Line 9)Michel-Ange – Auteuil (Mairie de Montreuil, Paris Métro Line 9)Chardon Lagache (Gare d'Austerlitz, Paris Métro Line 10)Boulogne – Jean Jaurès (Paris Métro Line 10)",,,Paris Métro Line 9 (1922–)Paris Métro Line 10,,30 September 1913,,,,,,,"48° 50′ 42.58″ N, 2° 15′ 42.06″ E",,"16th arrondissement of Paris, Paris, Grand Paris, France",rue Michel-Angerue Molitor,RATP,RATP,,,,,Paris Métro,
Montgallet (Paris Metro),,"Reuilly - Diderot (Balard, Paris Métro Line 8)Daumesnil (Pointe du Lac, Paris Métro Line 8)",,,Paris Métro Line 8,,5 May 1931,,,,,,,"48° 50′ 39.16″ N, 2° 23′ 25.08″ E",,"12th arrondissement of Paris, Paris, Grand Paris, France",rue Montgallet,RATP,RATP,,,,,Paris Métro,
Monceau (Paris Metro),,,,,,,,,,,,,,,,,,,,,,,,,
Miromesnil (Paris Metro),,"Saint-Philippe du Roule (Pont de Sèvres, Paris Métro Line 9)Saint-Augustin (Mairie de Montreuil, Paris Métro Line 9)Saint-Lazare (Les Courtilles, Saint-Denis – Université, Paris Métro Line 13)Champs-Élysées - Clemenceau (Châtillon - Montrouge, Paris Métro Line 13)",,,Paris Métro Line 9Paris Métro Line 13 (1973–),,27 May 1923,,,,,,,"48° 52′ 25.32″ N, 2° 18′ 52.24″ E",,"8th arrondissement of Paris, Paris, Grand Paris, France",rue de Miromesnil,RATP,RATP,,,,,Paris Métro,
Montparnasse - Bienvenüe (Paris Metro),Montparnasse TowerMusée BourdelleMontparnasse CemeteryMusée de La Postejardin AtlantiqueGare MontparnasseFrench National School of Forestry,"Saint-Placide (Porte de Clignancourt, Paris Métro Line 4)Vavin (Bagneux–Lucie Aubrac, Paris Métro Line 4)Pasteur (Charles de Gaulle - Étoile, Paris Métro Line 6)Edgar Quinet (Nation, Paris Métro Line 6)Notre-Dame-des-Champs (Mairie d'Aubervilliers, Paris Métro Line 12)Falguière (Mairie d'Issy, Paris Métro Line 12)Duroc (Les Courtilles, Saint-Denis – Université, Paris Métro Line 13)Gaîté (Châtillon - Montrouge, Paris Métro Line 13)",,,Paris Métro Line 4 (1910–)Paris Métro Line 6 (1942–)Paris Métro Line 12 (1910–)Paris Métro Line 13 (1976–),,"24 April 1906 (Place d'Italie, Avenue de Maine, Paris Métro Line 2)",,,,,1906,Gare Montparnasse,"48° 50′ 34.95″ N, 2° 19′ 21.49″ E",,6th arrondissement of Paris14th arrondissement of Paris15th arrondissement of ParisFrance,Montparnasseplace Bienvenüe,RATP,RATP,,,,,Paris Métro,
Montreuil - Hôpital (Paris Metro),,"Romainville - Carnot (Châtelet, Paris Métro Line 11)La Dhuys (Rosny-Bois-Perrier, Paris Métro Line 11)Aristide Briand (proposed building or structure, Paris Métro Line 9)",,,Paris Métro Line 11Paris Métro Line 9 (proposed building or structure),,13 June 2024,,,,,,,"48° 52′ 41.88″ N, 2° 27′ 16.42″ E",,MontreuilNoisy-le-SecFrance,Centre Hospitalier Intercommunal André Grégoire Montreuil,RATP,RATP,,,,,Paris Métro,
Mouton-Duvernet (Paris Metro),,,,,,,,,,,,,,"48° 49′ 52.29″ N, 2° 19′ 46.65″ E",,,,,,,,,,,
La Muette (Paris Metro),,"Ranelagh (Pont de Sèvres, Paris Métro Line 9)Rue de la Pompe (Mairie de Montreuil, Paris Métro Line 9)",,,Paris Métro Line 9,,8 November 1922,,,,,,,"48° 51′ 27.79″ N, 2° 16′ 25.39″ E",,"16th arrondissement of Paris, Paris, Grand Paris, France",Muette,RATP,RATP,,,,,Paris Métro,
